id;family_name;phase_number;phase_name;symptom_description;affected_component;probable_cause;recommended_solution
;;;;Il nastro trasportatore si ferma a intermittenza;Nastro trasportatore;Fotocellula di presenza pezzo sporca o disallineata: il segnale si interrompe e il PLC arresta il nastro.;Pulire la lente della fotocellula, riallinearla con il catarifrangente e verificare che il LED di segnale resti stabile.
;;;;Il nastro trasportatore si ferma a intermittenza;Nastro trasportatore;Intervento della protezione termica dell'inverter per sovraccarico meccanico del motoriduttore.;Verificare tensione della cinghia e cuscinetti dei rulli, controllare la corrente assorbita dal motore e ripristinare l'allarme inverter.
;;;;La pressione dell'aria compressa è bassa in tutta la macchina;Gruppo trattamento aria;Cartuccia del filtro regolatore intasata oppure perdite su raccordi e tubi del circuito pneumatico.;Leggere il manometro all'ingresso macchina, sostituire la cartuccia del filtro e cercare le perdite con spray cercafughe a macchina in pressione.
;;;;La macchina non si avvia e il pulsante di marcia non risponde;Circuito di sicurezza;Catena di sicurezza aperta: pulsante di emergenza premuto, riparo aperto o modulo di sicurezza da ripristinare.;Controllare tutti i pulsanti di emergenza e i ripari, poi premere il pulsante di reset del modulo di sicurezza prima della marcia.
;;;;Il pannello operatore HMI è bloccato e non risponde al tocco;Pannello operatore HMI;Blocco del software del pannello o perdita di comunicazione con il PLC.;Riavviare il pannello dall'interruttore dedicato e verificare il cavo Ethernet tra pannello e PLC.
;;;;Allarme di comunicazione persa con il PLC;Rete di campo Profinet;Connettore di rete allentato o switch di rete guasto nel quadro elettrico.;Verificare i LED di link sulle porte, reinserire i connettori e, se il LED resta spento, sostituire il cavo o lo switch.
;;;;Il motore si surriscalda e si sente odore di bruciato;Motore elettrico;Ventola di raffreddamento ostruita dalla polvere oppure cuscinetti usurati che aumentano l'assorbimento.;Arrestare la macchina, pulire ventola e alette del motore, misurare la corrente assorbita e controllare la rumorosità dei cuscinetti.
;;;;Un cilindro pneumatico si muove a scatti;Cilindro pneumatico;Regolatori di flusso starati oppure guarnizioni del cilindro usurate o non lubrificate.;Regolare i regolatori di flusso sullo scarico e, se il problema resta, sostituire il kit guarnizioni del cilindro.
;;;;Il sensore induttivo non rileva la presenza del pezzo;Sensore induttivo;Sensore allentato o montato oltre la distanza di intervento nominale.;Riposizionare il sensore alla distanza nominale indicata sulla targhetta e verificare che il LED si accenda con il pezzo davanti.
;;;;Il sensore induttivo segnala il pezzo anche quando è assente;Sensore induttivo;Trucioli metallici depositati sulla faccia del sensore oppure sensore danneggiato da un urto.;Pulire la faccia del sensore dai trucioli e sostituirlo se il LED resta acceso anche senza pezzo.
;Cella di assemblaggio robotizzata;;;La pinza del robot non chiude completamente;Pinza pneumatica end-effector;Pressione dell'aria compressa insufficiente o perdite sul circuito della pinza.;Verificare che il regolatore sia impostato a 6 bar e controllare raccordi e tubi della pinza alla ricerca di perdite.
;Cella di assemblaggio robotizzata;;;La pinza del robot chiude ma non si apre;Elettrovalvola pinza;Elettrovalvola bloccata in posizione o bobina guasta.;Azionare l'elettrovalvola con il comando manuale: se la pinza si apre, sostituire la bobina, altrimenti sostituire la valvola.
;Cella di assemblaggio robotizzata;;;Il robot si ferma con allarme di collisione;Robot antropomorfo;Ostacolo nella zona di lavoro oppure carico utile configurato in modo errato dopo un cambio pinza.;Liberare la zona di lavoro, verificare il carico utile impostato nel controllore e ripristinare l'allarme a velocità ridotta.
;Cella di assemblaggio robotizzata;;;L'avvitatore non raggiunge la coppia di serraggio;Avvitatore elettrico;Inserto usurato che slitta sulla testa della vite oppure viti di un lotto non conforme.;Sostituire l'inserto e verificare con il controllo qualità il lotto delle viti in uso.
;Cella di assemblaggio robotizzata;;;Le viti vengono avvitate storte;Maschera di centraggio;Pezzo non centrato nella maschera per sporco o spine di riferimento usurate.;Pulire la maschera, controllare l'usura delle spine di riferimento e verificare il centraggio con un pezzo campione.
;Cella di assemblaggio robotizzata;2;Serraggio in pinza;La pinza del robot non chiude completamente;Sensore finecorsa pinza;Sensore magnetico di finecorsa del cilindro spostato dopo il cambio formato: il robot riceve il consenso prima della chiusura completa.;Riposizionare il sensore sul cilindro a pinza chiusa e verificare il segnale di finecorsa sul PLC.
;Cella di assemblaggio robotizzata;3;Avvitatura;L'avvitatore non raggiunge la coppia di serraggio;Controllore avvitatore;Programma di coppia sbagliato selezionato dopo il cambio formato.;Selezionare sul controllore dell'avvitatore il programma di coppia del formato in produzione.
;Cella di assemblaggio robotizzata;1;Carico pezzo;Il robot non preleva il pezzo dal nastro;Sistema di visione;La telecamera non riconosce il pezzo: lente sporca o illuminatore guasto.;Pulire la lente della telecamera, verificare che l'illuminatore sia acceso e ripetere la calibrazione con il pezzo campione.
;Confezionatrice flow-pack;;;Saldatura del film irregolare con grinze;Ganasce saldanti trasversali;Temperatura delle ganasce sotto il setpoint a causa di una termocoppia degradata.;Confrontare la lettura della termocoppia con un termometro di riferimento e sostituirla se lo scostamento supera 5 °C.
;Confezionatrice flow-pack;3;Saldatura trasversale;Saldatura del film irregolare con grinze;Rivestimento ganasce;Usura del rivestimento in PTFE delle ganasce: il calore non si distribuisce in modo uniforme.;Sostituire il nastro in PTFE delle ganasce e rimuovere i residui di film bruciato.
;Confezionatrice flow-pack;;;Il film si strappa durante lo svolgimento;Svolgitore bobina;Tensione del film eccessiva: ballerino bloccato o freno della bobina troppo serrato.;Verificare che il ballerino si muova liberamente e ridurre la coppia del freno della bobina.
;Confezionatrice flow-pack;1;Svolgimento film;Il nastro trasportatore si ferma a intermittenza;Svolgitore bobina;Freno dello svolgitore bobina troppo serrato: il traino del film sovraccarica il motore del nastro.;Ridurre la coppia del freno dello svolgitore e verificare che la bobina ruoti liberamente a macchina ferma.
